Statement 1 | Every quotient ring of every commutative ring is again a commutative ring. Statement 2 | An ideal N in a ring R with unity 1 is all of R if and only if 1 in N.,"True, True","False, False","True, False","False, True",C
Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.,"True, True","False, False","True, False","False, True",C
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",8,2,24,120,C
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,1,2,"2,3",6,C
Find the maximum possible order for an element of S_n for n = 10.,6,12,30,105,C
The set of all nth roots of unity under multiplication of complex numbers form a/an,semi group with identity,commutative semigroups with identity,group,abelian group,D
"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.","True, True","False, False","True, False","False, True",B
Find all c in Z_3 such that Z_3[x]/(x^3 + cx^2 + 1) is a field.,0,2,1,3,B
Find the characteristic of the ring Z_3 x Z_3.,0,3,12,30,B
"Find the degree for the given field extension Q(sqrt(2), sqrt(3)) over Q.",0,4,2,6,B
Statement 1 | The unity of a subring must be the same as the unity of the ring. Statement 2 | Every field is an integral domain.,"True, True","False, False","True, False","False, True",D
"Statement 1 | For n > 1, the set {1,2, ..., n-1} is a group under multiplication modulo n. Statement 2 | There is an integer x such that 63x mod 100 = 1.","True, True","False, False","True, False","False, True",D
Find the number of elements in the indicated cyclic group: The cyclic subgroup of Z_30 generated by 25.,25,5,6,30,C
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",1,2,5,11,A
"Statement 1 | If H and K are subgroups of a group G, then |HK| = |H||K|/|H intersection K|. Statement 2 | A group of order 2p where p is an odd prime is cyclic or isomorphic to D_p.","True, True","False, False","True, False","False, True",A
